#itemId	itemSupplier	itemStockQuantity	itemBasePrice	itemTags
Itq8t659	面本交通	2093	28100	ソフトウェア,サービス,備品,ハイクオリティ,スタンダード,蓋付き
It3omk3v	長崎面本工業	1209	64800	精密部品,iOS,見切り品,備品,タブレット単位,蓋付き,ケース付き,セット
Ith6exnb	長崎ヴァーチャウェアソリューション	110	82000	工作機械,消耗品,アルミ亜鉛合金
Ituqkaq8	明石ヒュージハード建設	1656	23800	サービス,Linux,スタンダード,スチール合金
It8dgnb9	日本ゲッサンエンターテイメント	974	78400	備品,消耗品,アルミ亜鉛合金,ビン単位,セット
Itm2bzh4	ヒュージハードコンプライアンスクリエーション	4076	59800	大型機械,MacOS,欠陥品,アルミ鋳造,スチール鋳造,柄付き,カバー付き
Itztkb6g	東日本ABCクラウド事務所	1674	86800	雑貨,スチール鋳造,ケース単位,カバー付き,交換用
Itdnjmdw	ゴーグルコンプライアンス産業	826	42900	事務用品,消耗品,ハイクオリティ
Itrjhx66	ベンザ製作所	1148	87500	食料,大型機械,事務用品,見切り品,備品,ケース単位
It5i77gk	ゴールデンモービルコンプライアンス工業	1576	41200	中古品,ステンレスメッキ
Itjivhbs	日本ゲッサンソフト	2073	46100	園芸用品,MacOS,アルミ亜鉛合金,ビン単位
Itxlwqqh	札幌ゲッサン興業	2465	43600	サービス,MacOS,Android,Linux,中古品,スチールメッキ,蓋付き,カバー付き,交換用
Itbrozna	明石ゴールデンモービル事務所	2567	62900	新製品,中古品
Itpzg84x	名古屋ALVコンシューマーネット輸送	1667	93600	Windows,MacOS,アルミメッキ
It49yg4o	福岡密林ビッグデータ信金	2214	47800	家庭用品,設備,備品,アルミ鋳造,アルミ亜鉛合金
Itimfnp9	大阪ホウデンコンプライアンス制作	976	99000	精密部品,見切り品,ハイクオリティ,ステンレス合金,ケース単位,タブレット単位,柄付き,セット,キット
Itx19utb	ヴァーチャウェアインテグレーション	2629	78300	ソフトウェア,設備,セット
Itbiv1fh	ホウデンコンプライアンス産業	3678	69400	見切り品,耐久消費財,ステンレス鋳造,スチール合金,ケース単位
Itq2f7mh	面本建設	1654	63200	サービス,食料,雑貨,新製品,欠陥品,アルミ亜鉛合金,蓋付き
It4oqdbl	徳島ABCアーティフィシャルインテリジェント工業	821	96600	耐久消費財,廉価版,アルミメッキ,替え刃付き
Itjd0ilj	ゲッサン建設	1110	84000	精密部品,iOS,中古品,耐久消費財,アルミ鋳造,ステンレス合金,スチール鋳造,スチール合金,スチールメッキ
