#userId	userCompany	userDiscountRate
Usw81f17	徳島リンゴパブリックリレーションソリューション	47
Usbdpgys	ゴールデンモービルディープラーン交通	32
Usqlcih7	名古屋ゴーグルマーケティングカンパニー	42
Us5vqjhq	ヴァーチャウェアコンシューマーネットソリューション	13
Usl83k33	大阪ベンザ銀行	24
Us0n7k6k	ベンザクラウドクリエーション	30
Usg4ajuv	ヒュージハードビッグデータ信金	48
Usvnqj2n	神戸XYZパブリックリレーション制作	49
Usb9xhsj	明石面本ディープラーン信金	34
Usqy3g39	明石XYZ輸送	26
Us6p0dw3	福岡ヒュージハードマーケティングインテグレーション	49
Usmhwb9r	宮崎ベンザアーティフィシャルインテリジェント信金	44
Us2dj85j	鹿児島面本事務所	4
Usib54m5	密林ソリューション	23
Usyb40m8	ゴールデンモービルマイグレーション興業	7
Usedtw4f	ベンザビッグデータ産業	27
Usuiir7g	札幌密林観光	42
Usapylsl	XYZカンパニー	20
Usqzdfyk	福岡ABCコンプライアンス輸送	17
Us7bj9mn	横浜ゲッサン産業	3
Usnpo2vk	長崎密林印刷	41
Us46jvml	大日本ゴーグルパブリックリレーションクリエーション	40
Uskpenyg	東日本ゲッサンディープラーン観光	21
Us1b0fsf	ヒュージハードマーケティング交通	6
Ushyl778	宮崎リンゴディープラーンエンターテイメント	15
Usyoiy5i	リンダコンシューマーネット交通	24
Usfh7olw	XYZインテグレーション	27
Uswbven4	ゴーグルカンパニー	48
Usd9a46g	難波ホウデン興業	2
Usu8ntam	ヒュージハードコンプライアンスクリエーション	11
Usbashww	ALV銀行	38
Ussew640	ヒュージハードパブリックリレーションカンパニー	42
Us9lqtt8	ホウデン観光	28
Usqukh3a	ヒュージハードクリエーション	41
Us8653vg	ゴーグルクリエーション	4
Uspjoq8g	徳島面本マイグレーションソフト	13
Us6zzc3k	ゲッサンクリエーション	33
Usoi8xji	仙台ヴァーチャウェア観光	9
Us639ihk	XYZソフト	24
Usnq930g	ホウデンコンプライアンスエンターテイメント	34
Us5fzn1g	東京密林ビッグデータソフト	11
Usn7p6na	密林興業	29
Us525pr8	仙台ゴーグル事務所	43
Usmyl8g0	明石ヴァーチャウェア観光	30
Us4xrqmw	宮崎XYZ製作所	35
Usmyx8em	ヒュージハード交通	14
Us52tpog	難波リンダカンパニー	27
Usn8p6j4	ヒュージハードマイグレーションカンパニー	13
